"name","mode","type"
"D_715581797_2_2.D_652923023_2_2","NULLABLE","STRING"
"D_715581797_2_2.D_701387353_2_2","NULLABLE","STRING"
"D_715581797_3_3.D_652923023_3_3","NULLABLE","STRING"
"D_715581797_3_3.D_701387353_3_3","NULLABLE","STRING"
"D_715581797_3_3.D_652923023_3","NULLABLE","STRING"
"D_715581797_3_3.D_701387353_3","NULLABLE","STRING"
"D_715581797_4_4.D_701387353_4_4","NULLABLE","STRING"
"D_715581797_4_4.D_652923023_4_4","NULLABLE","STRING"
"D_715581797_4_4.D_652923023_4","NULLABLE","STRING"
"D_715581797_4_4.D_701387353_4","NULLABLE","STRING"
"D_220055064_5_5.D_220055064_5_5","NULLABLE","STRING"
"D_220055064_5_5.D_395747093_5_5","NULLABLE","STRING"
"D_980800222_2_2.D_366972678_2_2","NULLABLE","STRING"
"D_980800222_2_2.D_173502329_2_2","NULLABLE","STRING"
"D_980800222_2_2.D_366972678_2_2u25_20required","NULLABLE","STRING"
"D_980800222_2_2.D_173502329_2_2u25_20required","NULLABLE","STRING"
"D_980800222_2_2.D_173502329_2u25_20required","NULLABLE","STRING"
"D_980800222_2_2.D_366972678_2u25_20required","NULLABLE","STRING"
"D_980800222_2_2.D_173502329_2","NULLABLE","STRING"
"D_980800222_2_2.D_366972678_2","NULLABLE","STRING"
"D_705336878_2_2.D_705336878_2_2","REPEATED","STRING"
"D_705336878_2_2.D_218852075_2_2","NULLABLE","STRING"
"D_705336878_2_2.D_218852075_2","NULLABLE","STRING"
"D_980800222_3_3.D_366972678_3_3","NULLABLE","STRING"
"D_980800222_3_3.D_173502329_3_3","NULLABLE","STRING"
"D_980800222_3_3.D_366972678_3_3u25_20required","NULLABLE","STRING"
"D_980800222_3_3.D_173502329_3_3u25_20required","NULLABLE","STRING"
"D_980800222_3_3.D_173502329_3u25_20required","NULLABLE","STRING"
"D_980800222_3_3.D_366972678_3u25_20required","NULLABLE","STRING"
"D_705336878_3_3.D_705336878_3_3","REPEATED","STRING"
"D_705336878_3_3.D_218852075_3_3","NULLABLE","STRING"
"D_959877599.D_700620868","NULLABLE","STRING"
"D_959877599.D_908044428","NULLABLE","STRING"
"D_220055064_6_6.D_220055064_6_6","NULLABLE","STRING"
"D_220055064_6_6.D_395747093_6_6","NULLABLE","STRING"
"D_715581797_5_5.D_652923023_5_5","NULLABLE","STRING"
"D_715581797_5_5.D_701387353_5_5","NULLABLE","STRING"
"D_715581797_5_5.D_652923023_5","NULLABLE","STRING"
"D_715581797_5_5.D_701387353_5","NULLABLE","STRING"
"D_220055064_8_8.D_220055064_8_8","NULLABLE","STRING"
"D_980800222_4_4.D_173502329_4_4","NULLABLE","STRING"
"D_980800222_4_4.D_366972678_4_4","NULLABLE","STRING"
"D_705336878_4_4.D_705336878_4_4","REPEATED","STRING"
"D_705336878_4_4.D_218852075_4_4","NULLABLE","STRING"
