"name","mode","type"
"D_607773106_19_19","NULLABLE","STRING"
"D_406098499_20_20","NULLABLE","STRING"
"D_579563781_20_20","NULLABLE","STRING"
"D_589588769_20_20","NULLABLE","STRING"
"D_890637099_20_20","NULLABLE","STRING"
"D_607773106_20_20","NULLABLE","STRING"
"D_406098499_21_21","NULLABLE","STRING"
"D_579563781_21_21","NULLABLE","STRING"
"D_589588769_21_21","NULLABLE","STRING"
"D_890637099_21_21","NULLABLE","STRING"
"D_607773106_21_21","NULLABLE","STRING"
"D_852236900","NULLABLE","STRING"
"D_807431780_7_7","NULLABLE","STRING"
"D_807431780_8_8","NULLABLE","STRING"
"D_807431780_9_9","NULLABLE","STRING"
"D_807431780_10_10","NULLABLE","STRING"
"D_946504570","NULLABLE","STRING"
"D_714001034_8_8","NULLABLE","STRING"
"D_887697329_8_8","NULLABLE","STRING"
"D_473529484_8_8","NULLABLE","STRING"
"D_873968217_8_8","NULLABLE","STRING"
"D_418392907_8_8","NULLABLE","STRING"
"D_718867914_8_8","NULLABLE","STRING"
"D_750420077","REPEATED","STRING"
"D_714001034_9_9","NULLABLE","STRING"
"D_887697329_9_9","NULLABLE","STRING"
"D_473529484_9_9","NULLABLE","STRING"
"D_873968217_9_9","NULLABLE","STRING"
"D_418392907_9_9","NULLABLE","STRING"
"D_718867914_9_9","NULLABLE","STRING"
"D_714001034_10_10","NULLABLE","STRING"
"D_887697329_10_10","NULLABLE","STRING"
"D_473529484_10_10","NULLABLE","STRING"
"D_873968217_10_10","NULLABLE","STRING"
"D_418392907_10_10","NULLABLE","STRING"
"D_718867914_10_10","NULLABLE","STRING"
"D_714001034_11_11","NULLABLE","STRING"
"D_887697329_11_11","NULLABLE","STRING"
"D_473529484_11_11","NULLABLE","STRING"
"D_873968217_11_11","NULLABLE","STRING"
"D_418392907_11_11","NULLABLE","STRING"
"D_718867914_11_11","NULLABLE","STRING"
"D_807431780_11_11","NULLABLE","STRING"
"D_714001034_12_12","NULLABLE","STRING"
"D_887697329_12_12","NULLABLE","STRING"
"D_473529484_12_12","NULLABLE","STRING"
"D_873968217_12_12","NULLABLE","STRING"
"D_418392907_12_12","NULLABLE","STRING"
"D_718867914_12_12","NULLABLE","STRING"
"D_714001034_13_13","NULLABLE","STRING"
"D_887697329_13_13","NULLABLE","STRING"
"D_473529484_13_13","NULLABLE","STRING"
"D_873968217_13_13","NULLABLE","STRING"
"D_418392907_13_13","NULLABLE","STRING"
"D_718867914_13_13","NULLABLE","STRING"
"D_714001034_14_14","NULLABLE","STRING"
"D_887697329_14_14","NULLABLE","STRING"
"D_473529484_14_14","NULLABLE","STRING"
"D_873968217_14_14","NULLABLE","STRING"
"D_418392907_14_14","NULLABLE","STRING"
"D_718867914_14_14","NULLABLE","STRING"
"D_406098499_22_22","NULLABLE","STRING"
"D_579563781_22_22","NULLABLE","STRING"
"D_589588769_22_22","NULLABLE","STRING"
"D_890637099_22_22","NULLABLE","STRING"
"D_607773106_22_22","NULLABLE","STRING"
"D_406098499_23_23","NULLABLE","STRING"
"D_579563781_23_23","NULLABLE","STRING"
"D_589588769_23_23","NULLABLE","STRING"
"D_890637099_23_23","NULLABLE","STRING"
"D_607773106_23_23","NULLABLE","STRING"
"D_807431780_12_12","NULLABLE","STRING"
"D_406098499_24_24","NULLABLE","STRING"
"D_579563781_24_24","NULLABLE","STRING"
"D_589588769_24_24","NULLABLE","STRING"
"D_890637099_24_24","NULLABLE","STRING"
"D_607773106_24_24","NULLABLE","STRING"
"D_714001034_15_15","NULLABLE","STRING"
"D_887697329_15_15","NULLABLE","STRING"
"D_473529484_15_15","NULLABLE","STRING"
"D_873968217_15_15","NULLABLE","STRING"
"D_418392907_15_15","NULLABLE","STRING"
"D_718867914_15_15","NULLABLE","STRING"
"D_807431780_13_13","NULLABLE","STRING"
"D_807431780_14_14","NULLABLE","STRING"
"D_807431780_15_15","NULLABLE","STRING"
"D_807431780_16_16","NULLABLE","STRING"
"D_807431780_17_17","NULLABLE","STRING"
"D_384191091.D_384191091","REPEATED","STRING"
"D_384191091.D_747350323","NULLABLE","STRING"
"D_797626610.D_797626610","REPEATED","STRING"
"D_797626610.D_774928994","NULLABLE","STRING"
"D_588212264.D_588212264","REPEATED","STRING"
"D_588212264.D_486535201","NULLABLE","STRING"
"D_289664241.D_289664241","NULLABLE","STRING"
"D_289664241.D_918409306","NULLABLE","STRING"
"D_555481393.D_555481393","NULLABLE","STRING"
"D_555481393.D_979809707","NULLABLE","STRING"
"D_976808005.D_976808005","REPEATED","STRING"
"D_976808005.D_852296096","NULLABLE","STRING"
"D_884793537.D_206625031","NULLABLE","STRING"
"D_884793537.D_261863326","NULLABLE","STRING"
"D_436333358.D_206625031","NULLABLE","STRING"
"D_436333358.D_261863326","NULLABLE","STRING"
"D_978485677.D_206625031","NULLABLE","STRING"
"D_978485677.D_261863326","NULLABLE","STRING"
"D_846786840.D_261863326","NULLABLE","STRING"
"D_846786840.D_206625031","NULLABLE","STRING"
"D_852898339.D_261863326","NULLABLE","STRING"
"D_852898339.D_206625031","NULLABLE","STRING"
"D_301414575.D_261863326","NULLABLE","STRING"
"D_301414575.D_206625031","NULLABLE","STRING"
"D_114314839.D_600462977","NULLABLE","STRING"
"D_114314839.D_340854069","NULLABLE","STRING"
"D_912857732.D_950080618","NULLABLE","STRING"
"D_912857732.D_821387277","NULLABLE","STRING"
"D_912857732.D_407167089","NULLABLE","STRING"
"D_912857732.D_121646540","NULLABLE","STRING"
"D_912857732.D_503154158","NULLABLE","STRING"
"D_630675760.D_630675760","REPEATED","STRING"
"D_630675760.D_660541817","NULLABLE","STRING"
"D_814664694.D_787193493","NULLABLE","STRING"
"D_814664694.D_814664694","REPEATED","STRING"
"D_422714611.D_807765962","NULLABLE","STRING"
"D_422714611.D_422714611","REPEATED","STRING"
"D_814510313.D_814510313","REPEATED","STRING"
"D_814510313.D_677702321","NULLABLE","STRING"
"D_875221479.D_206625031","NULLABLE","STRING"
"D_875221479.D_261863326","NULLABLE","STRING"
"D_633764113.D_261863326","NULLABLE","STRING"
"D_633764113.D_206625031","NULLABLE","STRING"
"D_178774803.D_334956961","NULLABLE","STRING"
"D_178774803.D_178774803","REPEATED","STRING"
"D_367803647.D_367803647","NULLABLE","STRING"
"D_367803647.D_940387701","NULLABLE","STRING"
"D_700374192.D_923333992","NULLABLE","STRING"
"D_700374192.D_700374192","REPEATED","STRING"
"D_641651634.D_173508724","NULLABLE","STRING"
"D_641651634.D_641651634","REPEATED","STRING"
"D_201449164.D_206625031","NULLABLE","STRING"
"D_201449164.D_261863326","NULLABLE","STRING"
"D_554782332.D_206625031","NULLABLE","STRING"
"D_554782332.D_261863326","NULLABLE","STRING"
"D_423547108.D_206625031","NULLABLE","STRING"
"D_423547108.D_261863326","NULLABLE","STRING"
"D_150352141.D_623218391","NULLABLE","STRING"
"D_150352141.D_802622485","NULLABLE","STRING"
"D_150352141.D_206625031","NULLABLE","STRING"
"D_150352141.D_261863326","NULLABLE","STRING"
"D_534007917.D_623218391","NULLABLE","STRING"
"D_534007917.D_802622485","NULLABLE","STRING"
"D_534007917.D_261863326","NULLABLE","STRING"
"D_534007917.D_206625031","NULLABLE","STRING"
"D_354326265.D_378988419","NULLABLE","STRING"
"D_354326265.D_354326265","REPEATED","STRING"
"D_402548942.D_261863326","NULLABLE","STRING"
"D_402548942.D_206625031","NULLABLE","STRING"
"D_433604862.D_261863326","NULLABLE","STRING"
"D_433604862.D_206625031","NULLABLE","STRING"
"D_869387390_1_1.D_478706011_1_1","NULLABLE","STRING"
"D_869387390_1_1.D_869387390_1_1","REPEATED","STRING"
"D_869387390_1_1.D_478706011_1","NULLABLE","STRING"
"D_869387390_2_2.D_478706011_2_2","NULLABLE","STRING"
"D_869387390_2_2.D_478706011_2","NULLABLE","STRING"
"D_869387390_2_2.D_869387390_2_2","REPEATED","STRING"
