description,mode,name,type
D_768302347,NULLABLE,D_768302347,STRING
D_635874413,REPEATED,D_635874413,STRING
D_991427384,NULLABLE,D_991427384,STRING
D_263114971,NULLABLE,D_263114971,STRING
D_281494550_1_1,NULLABLE,D_281494550_1_1,STRING
D_815229596,REPEATED,D_815229596,STRING
D_981509686,NULLABLE,D_981509686,STRING
D_921220809,NULLABLE,D_921220809,STRING
D_747629521,NULLABLE,D_747629521,STRING
D_190721176,NULLABLE,D_190721176,STRING
D_771528780_6_6,NULLABLE,D_771528780_6_6,STRING
D_968816827_6_6,NULLABLE,D_968816827_6_6,STRING
D_391951010_6_6,NULLABLE,D_391951010_6_6,STRING
D_779052408_6_6,NULLABLE,D_779052408_6_6,STRING
D_133297530_6_6,NULLABLE,D_133297530_6_6,STRING
D_486574018_6_6,NULLABLE,D_486574018_6_6,STRING
D_278277373_6_6,NULLABLE,D_278277373_6_6,STRING
D_275143071,REPEATED,D_275143071,STRING
D_708921303,NULLABLE,D_708921303,STRING
D_814141708,NULLABLE,D_814141708,STRING
D_344573484,NULLABLE,D_344573484,STRING
D_807214881,NULLABLE,D_807214881,STRING
D_615979584,NULLABLE,D_615979584,STRING
D_922903688,NULLABLE,D_922903688,STRING
D_963284259,NULLABLE,D_963284259,STRING
D_615905904,NULLABLE,D_615905904,STRING
D_138836502,NULLABLE,D_138836502,STRING
D_305312165,NULLABLE,D_305312165,STRING
D_409324592,REPEATED,D_409324592,STRING
D_775324618,NULLABLE,D_775324618,STRING
D_819957363,NULLABLE,D_819957363,STRING
D_943996164,NULLABLE,D_943996164,STRING
D_875135634,NULLABLE,D_875135634,STRING
D_806253825,NULLABLE,D_806253825,STRING
D_220105997,NULLABLE,D_220105997,STRING
D_564185028,NULLABLE,D_564185028,STRING
D_560845692,NULLABLE,D_560845692,STRING
D_779165920,NULLABLE,D_779165920,STRING
D_356969766,NULLABLE,D_356969766,STRING
D_453820991,NULLABLE,D_453820991,STRING
D_111271067,NULLABLE,D_111271067,STRING
D_949663397,NULLABLE,D_949663397,STRING
D_557526470,NULLABLE,D_557526470,STRING
D_492822047,NULLABLE,D_492822047,STRING
D_466727144,NULLABLE,D_466727144,STRING
D_307736999,NULLABLE,D_307736999,STRING
D_912818075,NULLABLE,D_912818075,STRING
D_824165133,NULLABLE,D_824165133,STRING
D_728437398,NULLABLE,D_728437398,STRING
D_854078473,NULLABLE,D_854078473,STRING
D_295472931,NULLABLE,D_295472931,STRING
D_564374538,NULLABLE,D_564374538,STRING
D_265428345,NULLABLE,D_265428345,STRING
D_281494550_3_3,NULLABLE,D_281494550_3_3,STRING
D_371176229,NULLABLE,D_371176229,STRING
D_809735528,NULLABLE,D_809735528,STRING
D_946211808,NULLABLE,D_946211808,STRING
D_958009220,NULLABLE,D_958009220,STRING
D_491549803,NULLABLE,D_491549803,STRING
D_968816827_7_7,NULLABLE,D_968816827_7_7,STRING
D_391951010_7_7,NULLABLE,D_391951010_7_7,STRING
D_322479862,NULLABLE,D_322479862,STRING
D_936366310,NULLABLE,D_936366310,STRING
D_733861762,NULLABLE,D_733861762,STRING
D_509383583,REPEATED,D_509383583,STRING
D_439072744,NULLABLE,D_439072744,STRING
D_846227588,NULLABLE,D_846227588,STRING
D_628137243,NULLABLE,D_628137243,STRING
D_771528780_7_7,NULLABLE,D_771528780_7_7,STRING
D_486574018_7_7,NULLABLE,D_486574018_7_7,STRING
D_278277373_7_7,NULLABLE,D_278277373_7_7,STRING
D_779052408_7_7,NULLABLE,D_779052408_7_7,STRING
D_133297530_7_7,NULLABLE,D_133297530_7_7,STRING
D_560711355,NULLABLE,D_560711355,STRING
D_167207966,NULLABLE,D_167207966,STRING
D_281494550_2_2,NULLABLE,D_281494550_2_2,STRING
D_968816827_8_8,NULLABLE,D_968816827_8_8,STRING
D_391951010_8_8,NULLABLE,D_391951010_8_8,STRING
D_281494550_6_6,NULLABLE,D_281494550_6_6,STRING
D_133297530_8_8,NULLABLE,D_133297530_8_8,STRING
D_779052408_8_8,NULLABLE,D_779052408_8_8,STRING
D_466346054,NULLABLE,D_466346054,STRING
D_391951010_10_10,NULLABLE,D_391951010_10_10,STRING
D_486574018_8_8,NULLABLE,D_486574018_8_8,STRING
D_278277373_8_8,NULLABLE,D_278277373_8_8,STRING
D_968816827_10_10,NULLABLE,D_968816827_10_10,STRING
D_771528780_8_8,NULLABLE,D_771528780_8_8,STRING
D_391951010_9_9,NULLABLE,D_391951010_9_9,STRING
D_968816827_9_9,NULLABLE,D_968816827_9_9,STRING
D_771528780_10_10,NULLABLE,D_771528780_10_10,STRING
D_486574018_10_10,NULLABLE,D_486574018_10_10,STRING
D_779052408_10_10,NULLABLE,D_779052408_10_10,STRING
D_133297530_10_10,NULLABLE,D_133297530_10_10,STRING
D_309710463,NULLABLE,D_309710463,STRING
D_798889867,NULLABLE,D_798889867,STRING
D_771528780_9_9,NULLABLE,D_771528780_9_9,STRING
D_486574018_9_9,NULLABLE,D_486574018_9_9,STRING
D_779052408_9_9,NULLABLE,D_779052408_9_9,STRING
D_133297530_9_9,NULLABLE,D_133297530_9_9,STRING
D_281494550_5_5,NULLABLE,D_281494550_5_5,STRING
D_278277373_9_9,NULLABLE,D_278277373_9_9,STRING
D_538349354,NULLABLE,D_538349354,STRING
D_765748316,NULLABLE,D_305292465.D_765748316,STRING
D_785412329,NULLABLE,D_305292465.D_785412329,STRING
D_101310722,NULLABLE,D_901498441.D_101310722,STRING
D_901498441,REPEATED,D_901498441.D_901498441,STRING
D_969451837,NULLABLE,D_496539718.D_969451837,STRING
D_614145455,NULLABLE,D_614145455.D_614145455,STRING
D_672810476,NULLABLE,D_614145455.D_672810476,STRING
D_970604592,NULLABLE,D_215455305.D_970604592,STRING
D_434243220,NULLABLE,D_215455305.D_434243220,STRING
D_652561589,NULLABLE,D_392658845.D_652561589,STRING
D_239572239,NULLABLE,D_392658845.D_239572239,STRING
D_589522790,NULLABLE,D_392658845.D_589522790,STRING
D_699101535,NULLABLE,D_392658845.D_699101535,STRING
D_396649512,NULLABLE,D_649352910.D_396649512,STRING
D_654385712,NULLABLE,D_649352910.D_654385712,STRING
D_263483736,NULLABLE,D_649352910.D_263483736,STRING
D_806746224,NULLABLE,D_649352910.D_806746224,STRING
D_151161693,NULLABLE,D_733547268.D_151161693,STRING
D_980196073,NULLABLE,D_733547268.D_980196073,STRING
D_993029890,NULLABLE,D_733547268.D_993029890,STRING
D_115422925,NULLABLE,D_733547268.D_115422925,STRING
D_980120253,NULLABLE,D_733547268.D_980120253,STRING
D_491484323,NULLABLE,D_128705365.D_491484323,STRING
D_588637585,NULLABLE,D_128705365.D_588637585,STRING
D_986476579,NULLABLE,D_128705365.D_986476579,STRING
D_607323377,NULLABLE,D_128705365.D_607323377,STRING
D_199039940,NULLABLE,D_128705365.D_199039940,STRING
D_850393641,NULLABLE,D_653906464.D_850393641,STRING
D_707805344,NULLABLE,D_653906464.D_707805344,STRING
D_850393641,NULLABLE,D_358259099.D_850393641,STRING
D_707805344,NULLABLE,D_358259099.D_707805344,STRING
D_707805344,NULLABLE,D_424807655.D_707805344,STRING
D_850393641,NULLABLE,D_424807655.D_850393641,STRING
D_850393641,NULLABLE,D_532767229.D_850393641,STRING
D_707805344,NULLABLE,D_532767229.D_707805344,STRING
